GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,ClasspathCacheElement.Builder,0,36,0,0,0,10,0,4,0,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,PackageNameHolder,12,82,2,4,1,17,3,6,1,5
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,MatchPatternPredicate,0,75,1,7,0,17,1,7,0,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,ClasspathDescriptor,119,623,9,50,17,127,9,34,0,13
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,MatchArtifactPredicate,20,51,1,5,2,12,1,5,0,3
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,ClasspathCacheElement,0,69,0,4,0,14,0,6,0,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.artifact,ArtifactFileResolver,51,424,23,43,7,88,19,23,0,9
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.artifact,MavenCoordinates,49,339,16,30,11,67,16,20,0,13
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.artifact,ArtifactHelper,15,39,6,4,2,4,6,4,1,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ResultCollector,0,151,1,9,0,30,1,13,0,9
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ClasspathElement.ClasspathArtifact,37,72,8,6,9,16,7,8,2,6
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,HelpMojo,773,0,112,0,156,0,72,0,16,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ConflictType,0,31,0,0,0,7,0,4,0,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,DuplicateFinderMojo,128,1103,15,95,24,219,15,54,0,14
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ClasspathElement.ClasspathLocalFolder,27,22,6,0,7,7,5,4,2,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,XMLWriterUtils,24,544,2,42,4,104,3,29,1,9
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ResultCollector.ConflictResult,0,71,0,8,0,16,0,13,0,9
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ConflictState,1,76,1,5,0,16,1,7,0,5
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ClasspathElement,8,16,0,0,2,5,2,5,2,5
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ConflictingDependency,74,291,13,39,15,62,13,35,3,19
