GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,ClasspathCacheElement.Builder,36,0,0,0,10,0,4,0,4,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,PackageNameHolder,8,86,1,5,1,17,2,7,1,5
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,MatchPatternPredicate,5,71,2,6,2,15,3,5,1,3
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,MatchArtifactPredicate,71,0,6,0,14,0,6,0,3,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,ClasspathDescriptor,544,190,45,14,122,22,35,8,11,2
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,ClasspathCacheElement,69,0,4,0,14,0,6,0,4,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.artifact,ArtifactFileResolver,424,52,59,7,82,12,37,5,7,2
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.artifact,MavenCoordinates,144,244,20,26,24,54,16,20,4,9
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.artifact,ArtifactHelper,54,0,10,0,6,0,10,0,5,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ResultCollector,151,0,10,0,30,0,14,0,9,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ClasspathElement.ClasspathArtifact,109,0,14,0,25,0,15,0,8,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,HelpMojo,773,0,112,0,156,0,72,0,16,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ConflictType,31,0,0,0,7,0,4,0,4,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,DuplicateFinderMojo,1246,0,108,0,240,0,68,0,14,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ClasspathElement.ClasspathLocalFolder,49,0,6,0,14,0,9,0,6,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,XMLWriterUtils,568,0,44,0,108,0,32,0,10,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ResultCollector.ConflictResult,71,0,8,0,16,0,13,0,9,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ConflictState,77,0,6,0,16,0,8,0,5,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ClasspathElement,24,0,0,0,7,0,7,0,7,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ConflictingDependency,365,0,52,0,77,0,48,0,22,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,PluginLog,109,22,2,0,29,7,9,2,8,2
