GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,ClasspathCacheElement.Builder,0,36,0,0,0,10,0,4,0,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,PackageNameHolder,25,69,4,2,3,15,5,4,2,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,MatchPatternPredicate,0,75,1,7,0,17,1,7,0,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,ClasspathDescriptor,186,555,17,42,31,113,17,26,0,13
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,MatchArtifactPredicate,46,25,4,2,7,7,3,3,0,3
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.classpath,ClasspathCacheElement,0,69,0,4,0,14,0,6,0,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.artifact,ArtifactFileResolver,202,273,44,22,34,60,30,12,1,8
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.artifact,MavenCoordinates,179,209,32,14,35,43,22,14,2,11
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder.artifact,ArtifactHelper,15,39,6,4,2,4,6,4,1,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ResultCollector,52,99,7,3,8,22,6,8,2,7
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ClasspathElement.ClasspathArtifact,37,72,8,6,9,16,7,8,2,6
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,HelpMojo,773,0,112,0,156,0,72,0,16,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ConflictType,3,28,0,0,1,6,1,3,1,3
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,DuplicateFinderMojo,376,854,48,62,64,179,41,28,1,13
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,XMLWriterUtils,58,510,6,38,9,99,6,26,1,9
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ClasspathElement.ClasspathLocalFolder,49,0,6,0,14,0,9,0,6,0
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ResultCollector.ConflictResult,18,53,6,2,0,16,4,9,0,9
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ConflictState,36,41,6,0,7,9,5,3,2,3
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ClasspathElement,10,14,0,0,3,4,3,4,3,4
duplicate-finder-maven-plugin Maven Mojo,org.basepom.mojo.duplicatefinder,ConflictingDependency,163,202,33,19,35,42,28,20,7,15
