GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.macros,MacroType,4,0,0,0,1,0,1,0,1,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.macros,DemoMacro,0,41,0,4,0,9,0,4,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,MacroDefinition,93,55,14,2,16,14,13,6,5,6
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,IgnoreWarnFailCreate,30,64,4,5,4,11,4,5,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,NumberDefinition,9,36,1,1,3,12,3,4,2,4
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,IgnoreWarnFail,29,43,3,3,5,9,3,4,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,AbstractDefinition,5,177,2,4,1,48,3,22,1,21
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,UuidDefinition,0,20,0,0,0,5,0,3,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,PropertyDefinition,10,66,0,0,3,18,0,9,0,9
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,DateDefinition,0,33,0,0,0,10,0,5,0,5
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,PropertyGroup,55,102,2,2,15,25,8,9,6,9
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,StringDefinition,0,66,0,2,0,19,0,8,0,7
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.MapValueProvider,0,32,0,0,0,8,0,3,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.TrimTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,PropertyField,16,74,0,2,3,18,1,5,1,4
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,InterpolatorFactory,0,97,1,1,0,18,1,3,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider,0,6,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,StringField,6,113,1,9,1,25,2,9,1,5
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UseUnderscoreTransformer,0,11,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.NullProvider,0,2,0,0,0,1,0,1,0,1
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UppercaseTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,DateField,19,165,1,9,4,40,3,12,2,8
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,NumberField,74,163,8,12,12,38,9,13,4,8
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,UuidField,6,106,0,10,1,26,1,10,1,5
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueCache.ValueCacheEntry.new ForwardingMap() {...},21,25,0,2,8,6,3,4,3,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,AbstractPropertyHelperMojo,75,364,12,18,12,63,14,10,4,5
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.PropertyProvider,31,0,0,0,8,0,3,0,3,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UseDashTransformer,0,11,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.LowercaseTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,HelpMojo,773,0,112,0,156,0,72,0,16,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueCache.ValueCacheEntry,95,79,14,2,14,23,10,9,3,8
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.RemoveWhitespaceTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,GetPropertiesMojo,0,21,0,2,0,8,0,3,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,IncrementNumbersMojo,36,0,6,0,12,0,5,0,2,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UnderscoreForWhitespaceTransformer,0,8,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,MacroField,52,113,3,5,10,24,4,6,1,5
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.DashForWhitespaceTransformer,0,8,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.StaticValueProvider,11,0,0,0,5,0,3,0,3,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueCache,66,266,13,27,8,64,12,16,1,7
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry,8,134,2,8,2,28,3,7,1,4
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.util,Log,455,69,44,6,112,18,66,9,42,8
