GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.fields,NumberField.NumberElement,19,27,1,1,4,8,2,4,1,4
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.fields,NumberField,37,268,7,15,7,58,8,18,1,14
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.fields,MacroField,126,0,4,0,21,0,7,0,5,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.fields,DateField,20,87,0,2,4,17,2,8,2,7
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.fields,StringField,22,90,0,6,5,18,2,8,2,5
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.fields,UuidField,20,85,0,0,4,19,1,5,1,5
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.macros,DemoMacro,41,0,4,0,9,0,4,0,2,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.groups,PropertyResult,21,0,0,0,6,0,3,0,3,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.groups,PropertyGroup,46,34,8,0,8,8,9,2,5,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.TrimTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,InterpolatorFactory,3,158,0,2,1,23,0,9,0,8
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider,0,4,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,IncMojo,45,0,6,0,15,0,6,0,3,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UseUnderscoreTransformer,0,11,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UppercaseTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.PropertyBackedValueAdapter,19,31,0,0,4,8,1,3,1,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,Sneaky,31,9,8,2,9,3,6,1,1,1
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueCache.ValueCacheEntry.new ForwardingMap() {...},21,25,1,1,8,6,4,3,3,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,AbstractPropertyHelperMojo,519,0,34,0,123,0,47,0,30,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.SingleValueProvider,14,11,0,0,3,4,1,3,1,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,IgnoreWarnFail,15,65,2,4,3,13,2,5,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UseDashTransformer,0,11,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,Field,4,49,0,0,1,12,1,2,1,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,IgnoreWarnFailCreate,7,84,1,8,1,15,1,8,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.LowercaseTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,GetMojo,32,0,2,0,11,0,4,0,3,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueCache.ValueCacheEntry,142,33,16,0,26,11,16,3,8,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,HelpMojo,773,0,112,0,156,0,72,0,16,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,FieldContext,0,10,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.RemoveWhitespaceTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.MapBackedValueAdapter,19,32,0,0,4,8,1,3,1,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UnderscoreForWhitespaceTransformer,0,8,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.DashForWhitespaceTransformer,0,8,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,RandomUtil,7,43,0,4,2,8,1,3,1,1
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueCache,150,224,26,14,31,43,16,16,1,11
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry,13,119,4,2,3,24,3,6,0,6
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,FieldContext.new FieldContext() {...},18,13,0,0,5,4,5,4,5,4
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.definitions,StringDefinition,129,46,14,0,22,13,12,7,5,7
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.definitions,NumberDefinition,102,46,13,1,19,13,11,6,4,6
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.definitions,PropertyGroupDefinition,38,54,0,0,9,18,7,6,7,6
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.definitions,FieldDefinition,269,158,36,6,37,37,28,20,8,19
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.definitions,DateDefinition,35,134,1,1,9,28,3,18,2,18
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.definitions,PropertyDefinition,102,44,12,0,19,13,11,5,5,5
